Gene Symbol,Gene stable ID,Cardiomyocytes-specific ennhancer (GFP+ only),X30kGFPpos1,X30kGFPpos2,X30kGFPpos3,X500kGFPneg4,X500kGFPneg5,X500kGFPneg6,ucsc_url
llgl1,ENSDARG00000009693,chr3:40041183-40041536 (+8160); chr3:39889951-39890273 (+159408); chr3:39875966-39876423 (+173325); chr3:39802162-39802676 (+247101),54,0,281,731,659,618,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A39970355%2D40054749
lman1,ENSDARG00000069980,chr21:9181458-9181792 (-55774);,25442,0,44,494,754,682,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A10701834%2D10732281
lmnb1,ENSDARG00000044299,chr10:16116819-16117155 (+52133);,26648,0,104,2661,3086,3518,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A16036246%2D16056908
lmnl3,ENSDARG00000007751,chr23:46312006-46312406 (-130761);,25196,0,23,147,128,191,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A45845159%2D45860097
lmo4b,ENSDARG00000054749,chr6:25878002-25879290 (-191060); chr6:25855285-25855799 (-167956); chr6:25690050-25690384 (-2631); chr6:25511683-25512163 (+175663); chr6:25468877-25469438 (+218428); chr6:25307865-25309300 (+379003); chr6:25011774-25012117 (+675640),102,0,339,3316,3379,3837,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A25933736%2D25952870
lnx1,ENSDARG00000043323,chr20:22535204-22535499 (-117522); chr20:22700963-22701260 (+48238); chr20:22755113-22756831 (+103098),13,0,7,379,444,507,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A22666548%2D22740675
loxl1,ENSDARG00000054451,chr18:49013633-49013989 (-7603);,20926,0,112,364,332,400,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A50124297%2D50152689
loxl2b,ENSDARG00000044074,chr5:29096218-29096612 (+11509);,5180,0,245,864,835,1154,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A27434601%2D27490499
loxl5b,ENSDARG00000076904,chr2:56307701-56307997 (+82692);,10709,0,20,18,11,29,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A56012016%2D56041890
lpar1,ENSDARG00000099840,chr10:12478259-12478554 (-343180); chr10:12285011-12285857 (-150207); chr10:12203685-12205092 (-69162); chr10:12068767-12069065 (+66311); chr10:12060813-12061246 (+74197),125,0,142,530,507,614,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A13000370%2D13064110
lpar6,ENSDARG00000069441,chr15:3766174-3766472 (-17751); chr15:3437511-3437807 (+310913),0,0,2,12,4,16,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A22985078%2D22986277
lpcat1,ENSDARG00000011506,chr19:28789288-28789583 (+12331);,22649,0,43,218,166,170,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A28291062%2D28334164
lpgat1,ENSDARG00000013542,chr20:13695576-13695893 (-2079);,14813,0,209,2695,3070,3217,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A13781779%2D13874340
lpp,ENSDARG00000023578,chr6:27960354-27960649 (-47493); chr6:27996100-27996589 (-11650); chr6:28073123-28073448 (+65291); chr6:28118254-28118549 (+110407); chr6:28177537-28178564 (+170056); chr6:28193516-28194165 (+185846); chr6:28215888-28216184 (+208041); chr6:28360780-28361076 (+352933),101,0,316,765,811,988,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A28294113%2D28690670
lrguk,ENSDARG00000069698,chr4:14733894-14734189 (-151425); chr4:14792287-14792726 (-92960); chr4:14890805-14891100 (+5486); chr4:14946714-14947009 (+61395),0,0,4,54,57,95,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A15819728%2D15840799
lrig1,ENSDARG00000075625,chr11:16764324-16764733 (+15107); chr11:16721591-16722109 (+57786); chr11:16682812-16683110 (+96675),107,0,265,3455,3629,4191,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A16329776%2D16395956
lrmp,ENSDARG00000045574,chr4:16331389-16331719 (+14878);,522,0,6,18,21,41,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A17252596%2D17278928
lrp12,ENSDARG00000098845,chr19:16976365-16976856 (+222445); chr19:16945216-16946709 (+253093); chr19:16943474-16944010 (+255314); chr19:16898055-16898601 (+300728),23,0,172,2113,2566,2646,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A13375838%2D13397295
lrp5,ENSDARG00000006921,chr25:10961925-10962228 (-24541);,30665,0,431,1737,2084,2360,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A10640623%2D10769039
lrrc15,ENSDARG00000070792,chr6:36228790-36229132 (-9588);,8686,0,13,45,27,44,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A36459897%2D36463695
lrrc24,ENSDARG00000101704,chr2:51950720-51951015 (+283958); chr2:51852758-51853111 (+381891),0,0,1,56,54,39,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A51183320%2D51199922
lrrc3,ENSDARG00000078415,chr9:43306989-43307358 (+76553); chr9:43485382-43485677 (+254909),0,0,0,4,8,28,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A42157578%2D42164744
lrrc38,ENSDARG00000075147,chr23:22145519-22145869 (-54305);,24618,0,2,107,124,77,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A21775436%2D21797517
lrrc40,ENSDARG00000017708,chr6:30010643-30011100 (+183290);,8588,0,34,63,121,107,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A30113750%2D30122554
lrrtm1,ENSDARG00000052713,chr1:43962616-43963066 (-801811); chr1:43585567-43585917 (-424712); chr1:43077298-43077659 (+83551),16,0,0,386,340,440,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A42776553%2D42779075
lrtm2,ENSDARG00000045483,chr4:19205313-19205608 (+10213);,608,0,2,85,102,87,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A20255160%2D20265726
lsm14aa,ENSDARG00000006600,chr25:36851132-36851517 (-125270);,31262,0,125,1209,1466,1486,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A35889102%2D35909626
lsm14ab,ENSDARG00000100553,chr13:52494403-52494840 (-132523); chr13:52434129-52434469 (-72200),63,0,222,2676,2967,3457,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A302796%2D325636
lsm8,ENSDARG00000091656,chr4:8615450-8615745 (+6746);,278,0,30,116,199,166,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A9536860%2D9539424
lss,ENSDARG00000061274,chr9:39608663-39609117 (+74724);,13024,0,2,79,116,110,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A38481780%2D38500391
lta4h,ENSDARG00000006029,chr4:6732415-6732969 (+10755);,230,0,55,270,274,323,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A7653607%2D7673165
ltk,ENSDARG00000042861,chr17:31487009-31487304 (+55363);,17664,0,6,61,104,112,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A31400584%2D31483469
luc7l,ENSDARG00000055903,chr24:41212404-41212730 (+1016);,29186,0,111,1212,1610,1230,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A39638555%2D39654132
lyn,ENSDARG00000067916,chr2:27954928-27955360 (-197785);,9901,0,1,167,158,179,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A27577470%2D27609189
lypd6,ENSDARG00000004307,chr9:24137521-24137816 (+14026);,12657,0,9,192,241,314,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A23071149%2D23118350
lyrm5a,ENSDARG00000099560,chr4:5956224-5956520 (+234894);,202,0,13,96,103,182,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A5848229%2D5850633
lyrm5b,ENSDARG00000045827,chr25:20063334-20063635 (+15785);,30892,0,0,10,16,17,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A19557628%2D19561261
lysmd3,ENSDARG00000024693,chr5:50456434-50456729 (+6670);,5836,0,86,431,567,487,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A48672553%2D48680580
lysmd4,ENSDARG00000068702,chr18:24207007-24207371 (-138702);,20516,0,40,65,81,74,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A24562188%2D24572673
lzts2a,ENSDARG00000074597,chr13:18834980-18835365 (+49078);,19392,0,17,223,295,199,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A18801094%2D18863680
mab21l2,ENSDARG00000015266,chr1:22600460-22600950 (-249776); chr1:22746830-22747291 (-103420); chr1:22966141-22967554 (+116367); chr1:23017031-23018561 (+167315); chr1:23072850-23073145 (+222517),6,0,42,558,848,804,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A24076243%2D24078099
mafba,ENSDARG00000017121,chr23:3349968-3350390 (+73376);,24236,0,166,529,608,869,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A3405665%2D3409140
mag,ENSDARG00000104023,chr15:31952146-31952478 (-17413);,23863,0,0,102,141,176,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A33891808%2D33933820
magi1,ENSDARG00000070145,chr11:19355710-19356005 (+62401);,16984,0,73,2168,2472,2590,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A54055390%2D54072665
magi2,ENSDARG00000073769,chr4:21935280-21935575 (+83247); chr4:21856005-21856526 (+162409); chr4:21819354-21819851 (+199072),3,0,54,362,365,609,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A20743118%2D20985155
magoh,ENSDARG00000038635,chr8:21661590-21662252 (-9515); chr8:21677712-21678016 (+6428),3,0,12,501,514,572,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A21133307%2D21135732
man1a1,ENSDARG00000005652,chr20:41191438-41192060 (+138772);,15435,0,145,1116,1127,1298,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A41021054%2D41242638
man1b1,ENSDARG00000073792,chr5:30836171-30836466 (-2766);,25520,0,6,51,42,46,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A14217284%2D14251453
man2a1,ENSDARG00000102200,chr5:58552221-58552534 (+59099);,5976,0,54,164,70,157,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A57005838%2D57204352
manf,ENSDARG00000063177,chr22:34362972-34363308 (-671467); chr22:34595728-34596023 (-438731); chr22:34660793-34661364 (-373528),84,0,299,1024,1187,1328,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A32228882%2D32235551
mao,ENSDARG00000023712,chr9:34551444-34551842 (+132116);,12924,0,17,128,141,74,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A33660964%2D33725972
map1lc3a,ENSDARG00000033609,chr11:27625116-27625492 (+82636);,28070,0,12,82,152,123,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A26609110%2D26615608
map1lc3b,ENSDARG00000101127,chr25:13322800-13323182 (+229862);,30693,0,392,2085,2640,2235,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A12494079%2D12506027
map2k5,ENSDARG00000011851,chr7:35396267-35396685 (+9374);,3938,0,35,284,223,295,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A33970698%2D34062301
map2k6,ENSDARG00000099184,chr12:37493179-37493490 (+57480); chr12:37301086-37301578 (+249483); chr12:37294055-37294492 (+256541); chr12:37276793-37277142 (+273847),36,0,61,1010,996,1263,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A36109071%2D36161256
map3k3,ENSDARG00000060348,chr3:32009718-32010135 (-36275);,7181,0,112,458,526,544,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A31815184%2D31845816
map3k5,ENSDARG00000005416,chr20:3110663-3111076 (+8943);,14621,0,220,423,473,550,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A3005472%2D3087162
map3k7,ENSDARG00000020469,chr20:24899163-24899568 (-734506); chr20:24862803-24863648 (-698366); chr20:24624159-24624557 (-459498); chr20:24439363-24439697 (-274670),60,0,141,956,1039,1120,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A24149794%2D24183382
map4k5,ENSDARG00000039125,chr13:37137808-37138149 (+25341);,19782,0,86,485,505,669,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A36705595%2D36761454
mapk1,ENSDARG00000027552,chr5:14376908-14377239 (-7608); chr5:14355940-14356235 (+13378),83,0,337,713,817,813,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A13104851%2D13167120
mapk14b,ENSDARG00000028721,chr11:2734268-2734563 (+44978);,27501,0,152,870,721,1027,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A2710530%2D2760373
mapk6,ENSDARG00000032103,chr18:37742659-37743006 (-119286); chr18:37663721-37664294 (-40461); chr18:37621018-37621510 (+2283); chr18:37545098-37545537 (+78229),107,0,371,3383,3884,3965,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A39170127%2D39288894
mapkapk2a,ENSDARG00000002552,chr11:22024094-22024480 (+26990);,27946,0,131,546,681,708,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A21154678%2D21218172
mapre3b,ENSDARG00000102878,chr4:485005-485480 (+81234);,43,0,16,245,293,378,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A783644%2D797858
mark2,ENSDARG00000079905,chr7:26117043-26117339 (+60317);,25873,0,212,1513,1572,1886,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A27204382%2D27273147
mat1a,ENSDARG00000039605,chr13:18629249-18629667 (+56666);,19386,0,8,48,46,91,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A18628920%2D18637244
mbd3a,ENSDARG00000061774,chr2:57838197-57838494 (+100436);,10733,0,61,783,780,1046,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A57239978%2D57264334
mbip,ENSDARG00000019364,chr17:38644711-38645152 (+181568);,17774,0,0,79,187,124,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A38295847%2D38308379
mcfd2,ENSDARG00000039757,chr13:8053913-8054209 (+2252); chr13:7995713-7996197 (+60358),8,0,26,164,157,128,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A8682176%2D8692860
mcm10,ENSDARG00000045815,chr4:7030734-7031078 (+18977);,236,0,3,110,152,187,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A7851129%2D7869731
mcm6,ENSDARG00000057683,chr6:12899477-12899772 (+19559);,8209,0,13,983,969,960,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A12968101%2D12985390
mcm9,ENSDARG00000013528,chr20:41856324-41856649 (+20997); chr20:41908516-41908912 (+73224),4,0,11,101,115,140,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A41801913%2D41839744
mcoln1,ENSDARG00000058848,chr1:46170429-46170750 (+28006); chr1:46189975-46191374 (+48091),8,0,0,128,93,134,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A5991765%2D6035766
mdka,ENSDARG00000036036,chr7:40234954-40235256 (-323457); chr7:40316499-40316975 (-241825); chr7:40359375-40359686 (-199031); chr7:40519255-40519701 (-39084); chr7:40566032-40566522 (+7715),1217,0,2465,8919,10305,10627,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A39166460%2D39178198
mdm2,ENSDARG00000033443,chr4:22362198-22362493 (+299375);,653,0,109,865,857,1105,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A23125689%2D23136195
mdm4,ENSDARG00000057513,chr11:23977094-23977390 (-126279);,27963,0,79,819,825,1128,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A22890997%2D22916641
mecom,ENSDARG00000060808,chr15:35176046-35176353 (-501862); chr15:34975920-34977066 (-302155); chr15:34694528-34694824 (-20338); chr15:34572050-34572369 (+102128),23,0,250,509,582,697,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A35372907%2D35410860
mecp2,ENSDARG00000014218,chr8:8259194-8260569 (-85624);,15944,0,29,105,125,172,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A7616573%2D7637640
med10,ENSDARG00000070623,chr19:28395318-28395678 (-60529); chr19:28475206-28475502 (+19327),2,0,34,370,358,366,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A27970292%2D27974151
med12,ENSDARG00000103953,chr14:23594107-23594493 (-975464); chr14:23768703-23769068 (-800878); chr14:23939309-23939628 (-630295); chr14:24106516-24106960 (-463026); chr14:24365255-24365646 (-204313); chr14:24391170-24391518 (-178420); chr14:24422236-24422724 (-147284),49,0,96,1603,1720,2019,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A23593989%2D23679139
med14,ENSDARG00000009953,chr9:35446282-35446587 (+77288);,12950,0,125,1671,1841,2062,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A34397516%2D34428152
med24,ENSDARG00000099431,chr12:9056226-9056602 (-201832); chr12:8903430-8904099 (-49183),4,0,19,314,302,376,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A10644074%2D10674606
med28,ENSDARG00000037410,chr1:20057196-20057491 (-34698);,11232,0,13,291,276,316,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A21309386%2D21312596
med29,ENSDARG00000026448,chr15:14144498-14144793 (-107267);,23381,0,3,64,94,84,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A15232855%2D15237211
mef2ca,ENSDARG00000029764,chr10:45121713-45122030 (+53757); chr10:45034517-45034895 (+140923),174,0,226,661,700,1017,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A43544814%2D43655449
mef2cb,ENSDARG00000009418,chr5:50456434-50456729 (-413646); chr5:50030005-50030446 (+12710),68,0,165,675,547,798,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A48179340%2D48307804
melk,ENSDARG00000030759,chr1:20690775-20691070 (+25862); chr1:20595879-20596901 (+120395),4,0,16,412,479,566,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A21861387%2D21881818
memo1,ENSDARG00000010823,chr13:35824685-35825122 (-75647);,19741,0,78,445,482,591,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A35510893%2D35527697
meox1,ENSDARG00000007891,chr12:28915615-28916124 (-117378);,21529,0,52,166,238,195,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A27462225%2D27469267
mep1a.2,ENSDARG00000008029,chr20:35799630-35800006 (+291140);,15313,0,0,0,0,0,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A35484070%2D35496459
mep1b,ENSDARG00000040683,chr20:6350765-6351062 (-247713); chr20:6538049-6538345 (-60430),12,0,65,299,356,406,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A283764%2D293793
mepce,ENSDARG00000035771,chr5:71666429-71666864 (+20709);,25139,0,303,1603,1898,1926,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A44236281%2D44251006
mest,ENSDARG00000032319,chr4:15185668-15186033 (-119341);,483,0,12,126,119,106,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A15996234%2D16001215
metrn,ENSDARG00000030367,chr24:39540041-39540357 (-81192);,29123,0,81,1047,1299,1331,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A37941618%2D37955993
mettl5,ENSDARG00000068893,chr9:49120197-49120549 (+9768); chr9:49187274-49187569 (+76817),2,0,22,158,127,277,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A48123002%2D48135809
mettl6,ENSDARG00000070085,chr16:43008146-43008471 (+1241);,14198,0,1,13,19,43,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A40340222%2D40345372
mfn1,ENSDARG00000011884,chr11:45434885-45435398 (-56332);,9356,0,17,52,34,49,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A5338759%2D5356686
mfng,ENSDARG00000042925,chr22:15370272-15370648 (+55761);,29844,0,15,3,14,3,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A15251527%2D15280638
mfsd6a,ENSDARG00000032318,chr22:13056384-13056708 (+8488);,29810,0,52,319,240,221,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A12911236%2D12925741
mfsd6b,ENSDARG00000054583,chr9:42611570-42611865 (-30966); chr9:42580332-42580952 (+110),0,0,0,85,48,47,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A41482831%2D41507712
mgat4b,ENSDARG00000004115,chr14:14274766-14275091 (+161717); chr14:14181016-14181420 (+255428),26,0,2,87,121,141,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A16483926%2D16754262
mgat5,ENSDARG00000071506,chr22:11968113-11968423 (-114702); chr22:12180854-12181150 (+98032),46,0,89,1232,1502,1690,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A11972786%2D12091448
mibp2,ENSDARG00000101844,chr18:4935858-4936640 (+14996);,20122,0,285,2411,2497,2948,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A5490668%2D5497405
mid1ip1b,ENSDARG00000019302,chr22:11451439-11451734 (+97063);,29766,0,29,687,721,881,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A11436447%2D11438627
mid1ip1l,ENSDARG00000018145,chr14:43007936-43008269 (-5617); chr14:42945606-42945905 (+56730),1,0,46,526,523,625,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A41466368%2D41469036
mid2,ENSDARG00000034871,chr14:29188006-29188380 (-172316); chr14:29364729-29365336 (+4524),33,0,165,677,689,735,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A28281744%2D28385565
midn,ENSDARG00000018524,chr22:18976600-18976992 (-6201);,29946,0,4865,28776,32288,36159,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A18725101%2D18749313
mier1a,ENSDARG00000041072,chr6:34969263-34969585 (-17090); chr6:35431772-35432067 (+445406),4,0,17,741,947,992,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A34823721%2D34838413
mink1,ENSDARG00000035360,chr5:39915702-39916028 (+69347);,5494,0,252,957,827,788,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A38301906%2D38384755
minpp1b,ENSDARG00000045172,chr12:18575340-18575638 (-15118);,21311,0,0,4,1,16,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A17482607%2D17492885
mitd1,ENSDARG00000044766,chr9:7324212-7324508 (+4284);,12351,0,1,9,10,50,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A7275185%2D7287375
mitfa,ENSDARG00000003732,chr6:43228700-43229074 (-129082); chr6:43332710-43333168 (-25030),1,0,0,4,7,3,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A43390387%2D43433277
mknk2a,ENSDARG00000011373,chr2:22473740-22474179 (+9524);,9755,0,87,454,393,543,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A23006792%2D23024952
mkrn1,ENSDARG00000041665,chr4:11446611-11446920 (+89957);,372,0,97,1117,1548,1385,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A12292274%2D12307834
mks1,ENSDARG00000059657,chr5:57467129-57467770 (+60763);,5961,0,5,139,142,111,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A56090851%2D56119028
mllt3,ENSDARG00000006754,chr7:20064909-20065204 (+31005);,3533,0,26,462,470,613,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A18779555%2D18881358
mlx,ENSDARG00000037891,chr3:37366802-37367097 (-223587); chr3:37260003-37260298 (-116788),19,0,76,152,121,137,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A37135516%2D37148594
mmgt1,ENSDARG00000010553,chr14:32458675-32459074 (+29209);,18671,0,30,287,308,351,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A31615577%2D31619408
